Model ID,X Lower Bound,X Upper Bound,Y Lower Bound,Y Upper Bound,Voxel Size X,Voxel Size Y,Voxel Size Z,Sampling X,Sampling Y,Sampling Z
L1,,,,,0.045,0.045,0.045,2,2,5
L2C1,,,,,0.025,0.025,0.025,,,
L2C2,,,,,0.025,0.025,0.025,3,3,2
L5C1,1,3301,400,3585,0.013,0.013,0.013,10,10,2
L5C2,,,,,0.013,0.013,0.013,,,
L6C1,400,3200,800,3400,0.013,0.013,0.013,10,10,2
L6C2,450,3200,800,3400,0.013,0.013,0.013,10,10,2
L7C1,450,3000,100,3000,0.013,0.013,0.013,5,5,2
L7C2,500,3100,10,3400,0.013,0.013,0.013,5,5,2
L8C1,100,3500,100,3500,0.013,0.013,0.013,10,10,2
L8C2,200,3200,300,3200,0.013,0.013,0.013,10,10,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
